,dishes,mapping
0,4寸加高戚风蛋糕,0.02
1,6寸可可蛋糕,0.02
2,爱心煎饭,0.02
3,爱心小熊便当,0.02
4,Amba酱料,0.02
5,鹌鹑蛋炖猪蹄,0.02
6,鹌鹑豆沙螺丝酥,0.02
7,安庆炒米,0.02
8,腌蒜薹,0.02
9,腌糖醋洋姜,0.02
10,奥尔良板烧鸡腿堡,0.02
11,奥尔良鸡腿堡,0.02
12,奥尔良烤翅根,0.02
13,奥尔良烤鸡,0.02
14,奥尔良牛肉汉堡,0.02
15,奥利奥磅蛋糕,0.02
16,奥利奥巧克力蛋糕,0.02
17,奥利奥油条,0.02
18,澳洲莱明顿蛋糕,0.02
19,熬猪油,0.02
20,阿胶牛奶,0.02
21,阿胶雪梨,0.02
22,八宝辣酱,0.02
23,八宝卤鸡,0.02
24,八宝米糊,0.02
25,芭比蛋糕,0.02
26,芭比公主生日蛋糕,0.02
27,巴旦木牛轧糖,0.02
28,拜拜樱桃裸蛋糕,0.02
29,白贝烩丝瓜豆泡,0.02
30,白菜炒虾,0.02
31,白菜翡翠卷,0.02
32,白菜腐竹炒肉,0.02
33,白菜干烧肉,0.02
34,白菜梗炒肉,0.02
35,白菜饺子,0.02
36,白菜鸡蛋汤面,0.02
37,白菜鸡肉炒莜面,0.02
38,白菜韭菜猪肉包子,0.02
39,白菜熘肚片,0.02
40,白菜木耳牛肉片,0.02
41,白菜牛肉粉丝,0.02
42,白菜烧肉丸,0.02
43,白菜炖豆腐,0.02
44,白菜香菇浓汤饺子,0.02
45,白菜猪肉水饺,0.02
46,白菜煮虾潺,0.02
47,白瓜汤,0.02
48,白果豆浆,0.02
49,白果猪肚汤,0.02
50,百合冰糖炖雪梨,0.02
51,百合枸杞豆浆,0.02
52,百合花慕斯蛋糕,0.02
53,百合莲籽粥,0.02
54,百合南瓜焖饭,0.02
55,百合银耳莲子汤,0.02
56,白花菜炒瘦肉,0.02
57,白胡椒奇味虾,0.02
58,白蔻野姜红烧猪蹄,0.02
59,百里香红酒鸡翅,0.02
60,百里香蒸烤鲜虾,0.02
61,白萝卜焖羊蹄,0.02
62,白萝卜排骨汤,0.02
63,白萝卜肉片汤,0.02
64,白萝卜丝汤,0.02
65,白萝卜炖牛筋,0.02
66,白萝卜炖土鸡,0.02
67,白萝卜炖羊劲片,0.02
68,白萝卜馅饼,0.02
69,白萝卜咸菜,0.02
70,白萝卜羊肉卷,0.02
71,白萝卜猪尾汤,0.02
72,白奶酪蔬菜沙拉,0.02
73,白葡萄酒煮贻贝,0.02
74,白切鸡,0.02
75,白切牛肉,0.02
76,白切羊肉,0.02
77,白糖发面饼,0.02
78,白天使巧克力蛋糕,0.02
79,白土司,0.02
80,百香果蜂蜜面包干,0.02
81,百香果鸡尾酒,0.02
82,百香果戚风蛋糕,0.02
83,百香果酸奶,0.02
84,百香果杏桃蛋糕,0.02
85,白玉菇蛋花汤,0.02
86,白玉酿鲜虾,0.02
87,白斩鸡,0.02
88,白灼菜心,0.02
89,白灼腐竹,0.02
90,白灼芥蓝,0.02
91,白灼金针菇,0.02
92,白灼芦笋,0.02
93,白灼虾,0.02
94,白灼鲜虾,0.02
95,棒棒鸡丝,0.02
96,棒棒糖饼干,0.02
97,拌海带白菜丝,0.02
98,斑斓蜜豆卷,0.02
99,拌凉面,0.02
100,板栗红烧肉,0.02
101,板栗鸡块,0.02
102,板栗焖羊肉,0.02
103,板栗仁黑森林蛋糕,0.02
104,板栗烧鸡,0.02
105,板栗烧鸡翅,0.02
106,半烫面烙饼,0.02
107,爆腌萝卜,0.02
108,宝宝饼,0.02
109,宝宝菠菜松饼,0.02
110,暴暴龙菠菜面包,0.02
111,宝宝磨牙饼干,0.02
112,宝宝南瓜粥,0.02
113,包菜炒西红柿,0.02
114,包菜肉片沙拉,0.02
115,爆炒蛤蜊,0.02
116,爆炒鸡胗,0.02
117,爆炒螺蛳,0.02
118,爆炒墨鱼仔,0.02
119,爆炒青椒鱿鱼,0.02
120,爆炒土鸭子,0.02
121,爆炒五彩墨鱼仔,0.02
122,爆炒鸭胗,0.02
123,爆炒鱿鱼,0.02
124,爆炒鱿鱼须,0.02
125,爆炒猪肝,0.02
126,鲍菇豆芽,0.02
127,爆黄瓜,0.02
128,爆浆鸡排,0.02
129,豹纹香蕉蛋糕,0.02
130,煲咸饭,0.02
131,鲍香藕片,0.02
132,鲍汁白萝卜,0.02
133,鲍汁海参捞饭,0.02
134,鲍汁茄子,0.02
135,鲍汁烧茭白,0.02
136,煲仔饭,0.02
137,拔丝地瓜,0.02
138,拔丝红薯,0.02
139,霸王花煲猪腱,0.02
140,巴西椰奶虾,0.02
141,八爪鱼炒荷兰豆,0.02
142,把子肉,0.02
143,北海道杯子蛋糕,0.02
144,北海道戚风蛋糕,0.02
145,北海道曲奇,0.02
146,北海道吐司,0.02
147,贝壳粉起司,0.02
148,备年货之灌腊肠,0.02
149,本帮香酥鸭腿,0.02
150,笨式鸡翅,0.02
151,煸炒花蛤,0.02
152,扁豆,0.02
153,扁尖炖腔骨,0.02
154,编织苹果派,0.02
155,辫子面包,0.02
156,裱花水果蛋糕,0.02
157,裱花酸奶慕斯蛋糕,0.02
158,表情饭团便当,0.02
159,避风塘虾仁,0.02
160,缤纷果榴莲雪糕,0.02
161,缤纷鸡肉卷饼,0.02
162,缤纷立体月饼,0.02
163,缤纷田园披萨,0.02
164,冰种肠仔面包,0.02
165,冰脆巧克力蛋糕,0.02
166,冰花煎饺,0.02
167,冰花饺子,0.02
168,冰花小馄饨,0.02
169,冰梅酱肉丁,0.02
170,冰皮月饼,0.02
171,冰淇淋冰皮月饼,0.02
172,冰爽弹牙冷面,0.02
173,冰糖蜜豆,0.02
174,冰糖炖金桔,0.02
175,冰糖炖雪梨,0.02
176,冰糖炖燕窝,0.02
177,冰糖雪梨,0.02
178,冰糖雪梨羹,0.02
179,冰糖银耳雪梨,0.02
180,冰糖猪蹄,0.02
181,冰镇酸梅汤,0.02
182,荸荠雪梨鸭汤,0.02
183,菠菜拌豆皮,0.02
184,菠菜拌粉丝,0.02
185,菠菜蛋糕,0.02
186,菠菜花纹戚风蛋糕,0.02
187,菠菜鸡蛋卷饼,0.02
188,菠菜鸡蛋汤,0.02
189,菠菜木耳炒蛋,0.02
190,菠菜意面沙拉,0.02
191,菠菜蒸蛋糕,0.02
192,菠菜蒸肉丸,0.02
193,菠菜汁戚风蛋糕,0.02
194,菠菜汁手擀面,0.02
195,菠菜猪腰汤,0.02
196,波点蛋糕卷,0.02
197,柏林花环饼干,0.02
198,玻璃心饼干,0.02
199,菠萝炒饭,0.02
200,菠萝炒鸡腿菇,0.02
201,菠萝饭,0.02
202,菠萝翻转蛋糕,0.02
203,菠萝古老肉,0.02
204,菠萝果酱小面包,0.02
205,菠萝火腿披萨,0.02
206,菠萝鸡,0.02
207,菠萝鸡翅,0.02
208,菠萝鸡丁炒饭,0.02
209,菠萝焗海鲜饭,0.02
210,菠萝培根炒饭,0.02
211,菠萝肉丸,0.02
212,菠萝四喜烤麸,0.02
213,菠萝酸甜排骨,0.02
214,菠萝虾仁,0.02
215,菠萝油条虾,0.02
216,菠萝孜然鸡翅,0.02
217,拨面鱼鱼,0.02
218,鲅鱼饺子,0.02
219,鲅鱼面,0.02
220,鲅鱼虾丸汤,0.02
221,红烧冬瓜,0.02
222,步步高升排骨,0.02
223,扑克牌饼干,0.02
224,补血养颜花果茶,0.02
225,菜豆焖饭,0.02
226,菜豆焖猪蹄,0.02
227,菜干排骨粥,0.02
228,彩虹蛋糕,0.02
229,彩虹裸蛋糕,0.02
230,彩虹鱼,0.02
231,菜花炒胡萝卜,0.02
232,彩绘蛋糕卷,0.02
233,彩椒爆肚片,0.02
234,彩椒炒回锅肉,0.02
235,彩椒炒藕丁,0.02
236,彩椒炒鱿鱼,0.02
237,彩椒酱拌面,0.02
238,彩椒鸡丁,0.02
239,彩椒鸡丝,0.02
240,彩椒凉拌鸡蛋干,0.02
241,彩椒龙利鱼,0.02
242,彩椒牛肉片,0.02
243,菜沫米糊粥,0.02
244,菜圃排骨粥,0.02
245,彩色鸡肉丸子,0.02
246,彩色蔬果沙拉,0.02
247,彩蔬米饭蛋饼,0.02
248,彩蔬奶炖鸡腿肉,0.02
249,菜心炒米饭,0.02
250,菜心炒肉片,0.02
251,菜心五花肉,0.02
252,菜远炒腊肠,0.02
253,餐蛋另类三明治,0.02
254,草莓冰淇淋,0.02
255,草莓彩绘蛋糕卷,0.02
256,草莓蛋糕卷,0.02
257,草莓蛋黄酥,0.02
258,草莓酱吐司,0.02
259,草莓奶昔,0.02
260,草莓奶油蛋糕,0.02
261,草莓奶油蛋糕卷,0.02
262,草莓拿破仑酥,0.02
263,草莓圣诞老人蛋糕,0.02
264,草莓酸奶蛋挞,0.02
265,草莓味冰淇淋,0.02
266,草莓香瓜汁,0.02
267,草莓枣泥松饼,0.02
268,草莓纸杯蛋糕,0.02
269,草莓芝士蛋糕,0.02
270,长帝戚风蛋糕,0.02
271,长颈鹿斑纹蛋糕卷,0.02
272,长颈鹿蛋糕卷,0.02
273,肠仔炒豆角,0.02
274,肠仔蛋炒饭,0.02
275,炒豆干,0.02
276,炒豆芽,0.02
277,炒方便面,0.02
278,炒河粉,0.02
279,炒黄金馒头丁,0.02
280,炒鸡蛋木耳胡萝卜,0.02
281,炒鸡心,0.02
282,炒凉粉,0.02
283,炒面,0.02
284,炒蘑菇,0.02
285,炒三丝,0.02
286,炒蛳螺,0.02
287,炒素,0.02
288,炒酸奶,0.02
289,炒素三丝,0.02
290,炒田螺,0.02
291,炒土豆片,0.02
292,炒土豆丝,0.02
293,炒小白菜,0.02
294,潮州冻肉,0.02
295,叉烧鸡腿煲仔饭,0.02
296,叉烧鸡腿饭,0.02
297,叉烧鸡腿卷,0.02
298,叉烧香葱蛋糕,0.02
299,茶树菇煲鸭汤,0.02
300,茶树菇草鸡汤,0.02
301,茶树菇炒兰豆,0.02
302,茶树菇红烧肉,0.02
303,茶树菇老鸭汤,0.02
304,茶树菇排骨汤,0.02
305,茶树菇炖鸡,0.02
306,茶香鸡腿,0.02
307,茶香熏鸭,0.02
308,茶语花香芝士蛋糕,0.02
309,橙丁磅蛋糕,0.02
310,成都麻辣兔头,0.02
311,橙皮酱小面包,0.02
312,橙皮吐司,0.02
313,橙味糯米戚风蛋糕,0.02
314,橙香磅蛋糕,0.02
315,橙香蛋糕,0.02
316,橙香蛋糕卷,0.02
317,橙香马克杯蛋糕,0.02
318,橙香吐司,0.02
319,橙香鸭肉,0.02
320,陈皮粉葛骨头汤,0.02
321,陈皮红豆沙,0.02
322,陈皮红烧肉,0.02
323,Chimichurri酱,0.02
324,虫草花拌黄瓜木耳,0.02
325,虫草花龙利鱼水饺,0.02
326,虫草花清补汤,0.02
327,虫草花山药猪骨汤,0.02
328,虫草花瘦肉汤,0.02
329,虫草花炖鸡汤,0.02
330,虫草花鲜鸡汤,0.02
331,虫草花鸭汤,0.02
332,虫草花玉米排骨汤,0.02
333,虫草花云吞面,0.02
334,虫草花蒸鸡,0.02
335,虫草花蒸鸡蛋羹,0.02
336,丑耳桃胶羹,0.02
337,串烤大虾,0.02
338,传统苹果派,0.02
339,川味豆瓣鱼,0.02
340,川味粉蒸排骨,0.02
341,穿心莲三杯鸡,0.02
342,纯果蔬饺子,0.02
343,春笋炒腊肉,0.02
344,春笋炒肉丝,0.02
345,春笋尖焖土鸡,0.02
346,春笋焖土鸡,0.02
347,春笋虾丝,0.02
348,醇香摩卡蛋糕,0.02
349,春意盎然蛋糕卷,0.02
350,糍粑鱼,0.02
351,茨菇老鸭汤,0.02
352,茨菇烧排骨,0.02
353,慈姑烧肉,0.02
354,蚝油,0.02
355,蚝油孢子甘蓝,0.02
356,蚝油草菇,0.02
357,蚝油炒平菇,0.02
358,蚝油海鲜菇,0.02
359,蚝油海鲜菇炒牛柳,0.02
360,蚝油黑椒蘑菇,0.02
361,蚝油茭白,0.02
362,蚝油茭白草菇,0.02
363,蚝油芥蓝,0.02
364,蚝油芥兰,0.02
365,蚝油金针菇,0.02
366,蚝油芦笋,0.02
367,蚝油茄汁拌面,0.02
368,蚝油青豆杏鲍菇,0.02
369,蚝油青椒土豆丝,0.02
