,name,level
601,",,aierlannaiyoujiu",
602,",,aligottudouni",
603,",,ambajiangliao",
604,",,ancha",
605,",,anhuanggua",
606,",,anhuayecai",
607,",,ansuancai",
608,",,antangcuyangjiang",
609,",,aoerliangbanshaojituibao",
610,",,aoerliangkaochi",
611,",,aoerliangniurouyibao",
612,",,aoliaodangao",
613,",,asaduo",
614,",,asamu",
615,",,badanmuniuyatang",
616,",,bafaliyanai",
617,",,baibanjiaosha",
618,",,baicaichaodouya",
619,",,baicaidoufu",
620,",,baicaidoufutang",
621,",,baicaihezi",
622,",,baicaijidantang",
623,",,baicaixinbanhaizhesi",
624,",,baicaizhuroujiao",
625,",,baican",
626,",,baicha",
627,",,baidiguo",
628,",,baiguochaoxiaren",
629,",,baihaoyinzhen",
630,",,baihujiaoxia",
631,",,baijiayu",
632,",,bailandijiu",
633,",,bailuobutunyangrou",
634,",,bailuxia",
635,",,baimifan",
636,",,baimizhou",
637,",,baimizi",
638,",,baimudan",
639,",,baiqieya",
640,",,bairuixiang",
641,",,baisu",
642,",,baitusi",toast
643,",,baiwan",
644,",,baixiangguodangao",
645,",,baiyanlengyu",
646,",,baiye",
647,",,baizhuojielan",
648,",,baizhuojiweixia",
649,",,bajiaoyu",
650,",,banfan",
651,",,bangansi",
652,",,banggua",
653,",,banggutang",
654,",,banlidangao",
655,",,banliyuebing",mooncake
656,",,banmuguasi",
657,",,banshaojituibao",
658,",,banyouyusi",
659,",,baocairoujuan",
660,",,baoguchaodouya",
661,",,baoyushouroutang",
662,",,baoyutuntudou",
663,",,bayu",
664,",,beibeidingxie",
665,",,beihaidaodangao",
666,",,beihaidaoquqi",
667,",,beihaidaotusi",toast
668,",,beikefenqisi",
669,",,beizidangao",
670,",,bianluobu?",
671,",,bianrou",
672,",,biluochun",
673,",,binfentianyuanpisa",
674,",,bingqilintongluoshao",
675,",,bingtanghulu",
676,",,bingtangjinjie",
677,",,bingtanglishui",
678,",,bingtangzhouzi",
679,",,bingzhe",
680,",,bocaibanzhugan",
681,",,bocaichaojidan",
682,",,bocaimianbao",
683,",,bocaisongbing",
684,",,bocaitusi",toast
685,",,bocaizhidangao",
686,",,bocaizhugantang",
687,",,bocaizhuganzhou",
688,",,bohejisi",
689,",,bolitangbinggan",
690,",,boluochaoniurou",
691,",,boluodangao",
692,",,boluohuotuipisa",
693,",,boluopipaofu",
694,",,boluoyouyibao",
695,",,bosimianbaofan",
696,",,budingdangao",
697,",,buduihuoguo",
698,",,bulangnidangao",
699,",,bulangnizhishidangao",
700,",,caicong",
701,",,caifujiandan",
702,",,caiganshourouzhou",
703,",,caitouchaoroumo",
704,",,caixinchaofan",
705,",,candanlingleisanmingzhi",
706,",,caobaoyu",
707,",,caodou",
708,",,caomeidangao",
709,",,caomeidanta",
710,",,caomeijiangtusi",toast
711,",,caomeimaifen",
712,",,caomeimusidangao",
713,",,caomeinaiyoujuan",
714,",,caopiceer",
715,",,caotou",
716,",,chadianbinggan",
717,",,changgua",
