fid,name,name_en,name_he,name_cn,level1,level2,level3,level4,level5,level6,level7,level8,level9
1,food,,,食物,food,,,,,,,,
45,beverage,beverage,משקה,饮料,,beverage,,,,,,,
619,alcoholic_drinks,alcoholic drinks,משקאות אלכוהוליים,酒,,,alcoholic_drinks,,,,,,
1452,alcoholic_soft_drinks,alcoholic soft drinks,שתיה קלה עם אלכוהול,含酒精软饮,,,,alcoholic_soft_drinks,,,,,
2187,breezer,breezer,,,,,,,breezer,,,,
12311,arak,arak,ארק,,,,,arak,,,,,
15718,vodka_arak_40_alcohol_proof_80,"vodka, arak 40% alcohol, proof 80","וודקה, ערק 40% אלכוהול, proof 80",,,,,,vodka_arak_40_alcohol_proof_80,,,,
1444,beer,beer,בירה,啤酒,,,,beer,,,,,
15696,beer_all_types,"beer, all types","בירה, כל הסוגים",,,,,,beer_all_types,,,,
15699,dark_beer_4_3_alcohol,dark beer 4.3% alcohol,בירה כהה 4.3% כהל,,,,,,dark_beer_4_3_alcohol,,,,
1445,fruit_beer,fruit beer,בירות פירות,,,,,,fruit_beer,,,,
15698,lite_beer,lite beer,"בירה, קלה",,,,,,lite_beer,,,,
1453,brandy,brandy,ברנדי,白兰地,,,,brandy,,,,,
15716,brandy_cognac,"brandy, cognac","ברנדי, קוניאק",,,,,,brandy_cognac,,,,
1454,cognac,cognac, קוניאק,,,,,,cognac,,,,
1455,cider,cider,סיידר,苹果酒,,,,cider,,,,,
1442,cocktails,cocktails,קוקטיילים,鸡尾酒,,,,cocktails,,,,,
2066,bloody_mary_cocktail,bloody mary cocktail,בלאדי מרי,,,,,,bloody_mary_cocktail,,,,
1656,bombardino,bombardino,בובמרדינו,邦巴迪诺热饮,,,,,bombardino,,,,
1648,cosmopolitan,cosmopolitan cocktail,קוסמופוליטן,大都会鸡尾酒,,,,,cosmopolitan,,,,
16933,cuba_libre,cuba libre,קובה ליברה,,,,,,cuba_libre,,,,
15706,rum_and_coke,rum and coke,רום וקולה,,,,,,,rum_and_coke,,,
1649,frozen_daiquiri,frozen daiquiri,דאקירי קפוא,德贵丽,,,,,frozen_daiquiri,,,,
15704,daiquiri_cocktail,daiquiri cocktail,קוקטייל daiquiri,,,,,,,daiquiri_cocktail,,,
16934,gimlet,gimlet,גימלט,,,,,,gimlet,,,,
15705,gimlet_cocktail,gimlet cocktail,קוקטייל gimlet,,,,,,,gimlet_cocktail,,,
1651,kir_royal,kir royal,קיר רויאל,皇家基尔,,,,,kir_royal,,,,
1653,mai_tai,mai tai,מאי טאי,迈泰,,,,,mai_tai,,,,
1652,margarita,margarita,מרגריטה,玛格丽塔,,,,,margarita,,,,
1657,martini,martini,מרטיני,马天尼,,,,,martini,,,,
1659,mimosa,mimosa,מימוזה,含羞草鸡尾酒,,,,,mimosa,,,,
1650,mojito,mojito,מוחיטו,莫吉托,,,,,mojito,,,,
1655,old_fashioned_cocktail,old fashioned cocktail,אולד פאשן,古典鸡尾酒,,,,,old_fashioned_cocktail,,,,
1658,pina_colada,pina colada,פינה קולדה,椰林飘香,,,,,pina_colada,,,,
15707,pina_colada_with_alcohol,"pina colada, with alcohol","פינה קולדה, עם אלכוהול",,,,,,,pina_colada_with_alcohol,,,
1654,tequila_sunrise,tequila sunrise,טקילה סאן רייז,龙舌兰日出,,,,,tequila_sunrise,,,,
1458,gin,gin,ג'ין,,,,,gin,,,,,
12296,gin_and_tonic,gin and tonic,ג'ין וטוניק,,,,,,gin_and_tonic,,,,
1449,liqueur,liqueur,ליקר,力娇酒,,,,liqueur,,,,,
1664,amaretto,amaretto,אמרטו,阿玛雷托,,,,,amaretto,,,,
1461,campari,campari,קמפארי,金巴利,,,,,campari,,,,
1663,irish_cream,irish cream,אייריש קרים,,,,,,irish_cream,,,,
15709,liqueur_with_cream_including_irish_cream,"liqueur with cream, including irish cream","ליקר עם שמנת, כולל איריש קרם",,,,,,,liqueur_with_cream_including_irish_cream,,,
1662,limoncello,limoncello,לימונצ'לו,檸檬酒,,,,,limoncello,,,,
1450,ouzo,ouzo,אוזו,乌佐酒,,,,,ouzo,,,,
1457,punch,punch,פונץ,,,,,punch,,,,,
15708,fruit_punch_alcoholic,"fruit punch, alcoholic","פונצ' פירות, אלכוהולי",,,,,,fruit_punch_alcoholic,,,,
1459,rum,rum,רום,,,,,rum,,,,,
1460,sake,sake,סאקה,,,,,sake,,,,,
15710,rice_wine_saki,"rice wine, saki","יין אורז , saki",,,,,,rice_wine_saki,,,,
1456,sangria,sangria,סנגריה,,,,,sangria,,,,,
15715,alcoholic_beverage_sangria,alcoholic beverage sangria,משקה אלכוהולי sangria,,,,,,alcoholic_beverage_sangria,,,,
15695,shandy_an_alcoholic_drink,"shandy, an alcoholic drink","שנדי, משקה אלכוהולי",,,,,shandy_an_alcoholic_drink,,,,,
1448,tequila,tequila,טקילה,,,,,tequila,,,,,
1447,vodka,vodka,וודקה,,,,,vodka,,,,,
1446,whiskey,whisky,ויסקי,,,,,whiskey,,,,,
1443,wine,wine,יין,酒,,,,wine,,,,,
15774,alcoholic_beverage_wine_all_kinds,"alcoholic beverage, wine, all kinds","משקה אלכוהולי, יין, כל הסוגים",,,,,,alcoholic_beverage_wine_all_kinds,,,,
1660,red_wine,red wine,יין אדום,,,,,,red_wine,,,,
15775,alcoholic_beverage_red_wine_all_kinds,"alcoholic beverage, red wine, all kinds","משקה אלכוהולי, יין אדום, כל הסוגים",,,,,,,alcoholic_beverage_red_wine_all_kinds,,,
1451,sparkling_wine,sparkling wine,יינות מוגזים,,,,,,sparkling_wine,,,,
12329,champagne,champagne,שמפנייה,,,,,,,champagne,,,
15714,sweet_and_sparkling_wine,sweet and sparkling wine,יין מתוק מוגז,,,,,,,sweet_and_sparkling_wine,,,
15713,sweet_wine_dessert,sweet wine dessert,יין קינוח מתוק,,,,,,sweet_wine_dessert,,,,
1661,white_wine,white wine,יין לבן,,,,,,white_wine,,,,
15776,alcoholic_beverage_white_wine_all_types,"alcoholic beverage, white wine, all types","משקה אלכוהולי, יין לבן, כל הסוגים",,,,,,,alcoholic_beverage_white_wine_all_types,,,
15712,wine_for_cooking_assuming_cooked,"wine for cooking, assuming cooked","יין לבישול, בהנחה שבושל",,,,,,wine_for_cooking_assuming_cooked,,,,
12334,almond_drink,almond milk,חלב שקדים,,,,almond_drink,,,,,,
15924,almond_drink_alpro,"almond drink, alpro","משקה שקדים, אלפרו",,,,,almond_drink_alpro,,,,,
12319,aloe_vera_drink,aloe vera drink,מי אלו ורה,,,,aloe_vera_drink,,,,,,
2067,coconut_water,coconut water,מי קוקוס,,,,coconut_water,,,,,,
15768,coconut_water_coconut_nut_liquid_,coconut water (coconut nut liquid),מי קוקוס (נוזל מאגוז הקוקוס),,,,,coconut_water_coconut_nut_liquid_,,,,,
626,coffee,coffee,קפה,咖啡,,,coffee,,,,,,
16831,coffee_with_milk,coffee with milk,קפה עם חלב,,,,,coffee_with_milk,,,,,
1484,cappuccino,cappuccino,קפוצ'ינו,卡布奇诺,,,,,cappuccino,,,,
15628,coffee_cappuccino_decaffeinated,"coffee, cappuccino, decaffeinated","קפה, מוכן קפוצ'ינו, נטול קפאין",,,,,,,coffee_cappuccino_decaffeinated,,,
1489,cold_coffee,cold coffee,קפה קר,冰咖啡,,,,,cold_coffee,,,,
1791,instant_coffee,instant coffee,נס קפה,即溶咖啡,,,,,instant_coffee,,,,
15625,instant_coffee_with_whitener,instant coffee with whitener,נס קפה עם מלבין,,,,,,instant_coffee_with_whitener,,,,
1485,macchiato,macchiato,מקיאטו,玛奇雅朵咖啡,,,,,macchiato,,,,
16981,coffee_without_milk,coffee without milk,קפה בלי חלב,,,,,coffee_without_milk,,,,,
16837,americano_coffee,americano coffee,קפה אמריקנו,,,,,,americano_coffee,,,,
1483,black_coffee,black coffee,קפה שחור,黑咖啡,,,,,black_coffee,,,,
15621,coffee_made_of_grounded_coffee_decaffeinated,"coffee, made of grounded coffee, decaffeinated","קפה, מוכן מקפה טחון, נטול קפאין",,,,,,,coffee_made_of_grounded_coffee_decaffeinated,,,
15614,coffee_made_of_grounded_coffee_regular_including_filter_coffee,"coffee, made of grounded coffee, regular, including filter coffee","קפה, מוכן מקפה טחון, רגיל, כולל קפה פילטר",,,,,,,coffee_made_of_grounded_coffee_regular_including_filter_coffee,,,
12425,coffee_made_of_instant_powder_decaffeinated_powder,"coffee, made of instant powder, decaffeinated powder","קפה, מוכן מאבקת אינסטנט, נטול קפאין",,,,,,coffee_made_of_instant_powder_decaffeinated_powder,,,,
15620,coffee_made_of_instant_powder_plain,"coffee, made of instant powder, plain","קפה, מוכן מאבקת אינסטנט, רגיל",,,,,,coffee_made_of_instant_powder_plain,,,,
1482,espresso,espresso,אספרסו,浓咖啡,,,,,espresso,,,,
15617,coffee_espresso_including_turkish_black_unsweetened,"coffee,espresso, including turkish / black, unsweetened","קפה, מוכן אספרסו,כולל טורקי/שחור,לא ממותק",,,,,,,coffee_espresso_including_turkish_black_unsweetened,,,
